School_Code,County,Public_Private,School_District,City,School_Name,Enrollment,UTD_NUMBER,UTD_PERCENTAGE,PME_NUMBER,PME_PERCENTAGE,PBE_PERCENTAGE,PBE_PERCENTAGE,REPORTED,Grade,YEAR
6037535,SAN DIEGO,PUBLIC,ALPINE UNION ELEMENTARY,ALPINE,JOAN MACQUEEN MIDDLE,228,223,98,0,0,5,2,Y,7,2012-2013
6108567,SAN DIEGO,PUBLIC,BONSALL UNION ELEMENTARY,BONSALL,NORM SULLIVAN MIDDLE,179,167,93,0,0,12,7,Y,7,2012-2013
6115315,SAN DIEGO,PUBLIC,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS,BORREGO SPRINGS MIDDLE,40,40,100,0,0,0,0,Y,7,2012-2013
0117887,SAN DIEGO,PUBLIC,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS,JUAN BAUTISTA DE ANZA,10,8,80,0,0,2,20,Y,7,2012-2013
6038681,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,CAMPO,CAMPO ELEMENTARY,38,36,95,0,0,2,5,Y,7,2012-2013
6118137,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,AVIARA OAKS MIDDLE,402,388,97,0,0,14,3,Y,7,2012-2013
0107557,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,CALAVERA HILLS MIDDLE,191,183,96,0,0,8,4,Y,7,2012-2013
6037816,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,VALLEY MIDDLE,323,315,98,0,0,8,2,Y,7,2012-2013
6116859,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,ARROYO VISTA CHARTER,79,76,96,0,0,3,4,Y,7,2012-2013
6059745,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,BONITA VISTA MIDDLE,532,520,98,0,0,12,2,Y,7,2012-2013
6059752,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,CASTLE PARK MIDDLE,532,531,100,0,0,1,0,Y,7,2012-2013
6115778,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,CHULA VISTA LEARNING COMMUNITY CHARTER,98,96,98,0,0,2,2,Y,7,2012-2013
6059760,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,CHULA VISTA MIDDLE,537,533,99,1,0,3,1,Y,7,2012-2013
6111322,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,DISCOVERY CHARTER,26,24,92,1,4,1,4,Y,7,2012-2013
6120968,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,EASTLAKE MIDDLE,915,903,99,0,0,12,1,Y,7,2012-2013
0123042,SAN DIEGO,PUBLIC,SBC - HIGH TECH HIGH,CHULA VISTA,HIGH TECH MIDDLE CHULA VISTA,111,110,99,0,0,1,1,Y,7,2012-2013
6062004,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,HILLTOP MIDDLE,558,550,99,0,0,8,1,Y,7,2012-2013
0124321,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,HOWARD GARDNER COMMUNITY CHARTER,16,15,94,1,6,0,0,Y,7,2012-2013
6037980,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,MUELLER CHARTER (ROBERT L.),103,103,100,0,0,0,0,Y,7,2012-2013
3731155,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,OPTIONS SECONDARY,23,18,78,0,0,5,22,Y,7,2012-2013
6114276,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,CHULA VISTA,RANCHO DEL REY MIDDLE,911,904,99,0,0,7,1,Y,7,2012-2013
6059570,SAN DIEGO,PUBLIC,CORONADO UNIFIED,CORONADO,CORONADO MIDDLE,276,262,95,0,0,14,5,Y,7,2012-2013
6037584,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,CAJON VALLEY MIDDLE,254,254,100,0,0,0,0,Y,7,2012-2013
6038095,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,EL CAJON,DEHESA ELEMENTARY,12,11,92,0,0,1,8,Y,7,2012-2013
0119255,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,EJE MIDDLE ACADEMY,54,53,98,0,0,1,2,Y,7,2012-2013
6037626,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,EMERALD MIDDLE,209,205,98,0,0,4,2,Y,7,2012-2013
6037659,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,GREENFIELD MIDDLE,201,198,99,0,0,3,1,Y,7,2012-2013
6112890,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,HILLSDALE MIDDLE,506,498,98,2,0,6,1,Y,7,2012-2013
6119119,SAN DIEGO,PUBLIC,SAN DIEGO COUNTY OFFICE OF EDUCATION,EL CAJON,LITERACY FIRST CHARTER,133,124,93,0,0,9,7,Y,7,2012-2013
0111005,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,LOS COCHES CREEK MIDDLE,256,251,98,1,0,4,2,Y,7,2012-2013
6093207,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,MONTGOMERY MIDDLE,268,267,100,0,0,1,0,Y,7,2012-2013
6040372,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,EL CAJON,PEPPER DRIVE ELEMENTARY,68,65,96,0,0,3,4,Y,7,2012-2013
6104749,SAN DIEGO,PUBLIC,SAN DIEGUITO UNION HIGH,ENCINITAS,DIEGUENO MIDDLE,392,371,95,0,0,21,5,Y,7,2012-2013
6059737,SAN DIEGO,PUBLIC,SAN DIEGUITO UNION HIGH,ENCINITAS,OAK CREST MIDDLE,444,386,87,0,0,58,13,Y,7,2012-2013
0102590,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,BEAR VALLEY MIDDLE,334,320,96,0,0,14,4,Y,7,2012-2013
6116776,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,CLASSICAL ACADEMY,108,86,80,0,0,22,20,Y,7,2012-2013
6119564,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,ESCONDIDO,DEHESA CHARTER,103,49,48,0,0,54,52,Y,7,2012-2013
6038194,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,DEL DIOS MIDDLE,270,266,99,0,0,4,1,Y,7,2012-2013
0101535,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,HERITAGE K-8 CHARTER,54,53,98,0,0,1,2,Y,7,2012-2013
6093215,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,HIDDEN VALLEY MIDDLE,416,412,99,1,0,3,1,Y,7,2012-2013
6038210,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,MISSION MIDDLE,348,348,100,0,0,0,0,Y,7,2012-2013
6105944,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,RINCON MIDDLE,486,470,97,0,0,16,3,Y,7,2012-2013
6040331,SAN DIEGO,PUBLIC,SAN PASQUAL UNION ELEMENTARY,ESCONDIDO,SAN PASQUAL UNION ELEMENTARY,66,64,97,0,0,2,3,Y,7,2012-2013
6096911,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,FALLBROOK,IOWA STREET,17,10,59,0,0,7,41,Y,7,2012-2013
6038277,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,FALLBROOK,JAMES E. POTTER INTERMEDIATE,432,407,94,2,0,23,5,Y,7,2012-2013
6117303,SAN DIEGO,PUBLIC,JAMUL-DULZURA UNION ELEMENTARY,JAMUL,GREATER SAN DIEGO ACADEMY,26,23,88,0,0,3,12,Y,7,2012-2013
6097182,SAN DIEGO,PUBLIC,JAMUL-DULZURA UNION ELEMENTARY,JAMUL,OAK GROVE MIDDLE,102,99,97,0,0,3,3,Y,7,2012-2013
3731239,SAN DIEGO,PUBLIC,JULIAN UNION ELEMENTARY,JULIAN,JULIAN CHARTER,218,187,86,0,0,31,14,Y,7,2012-2013
6105845,SAN DIEGO,PUBLIC,JULIAN UNION ELEMENTARY,JULIAN,JULIAN JUNIOR HIGH,49,44,90,0,0,5,10,Y,7,2012-2013
6059687,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,LA JOLLA,MUIRLANDS MIDDLE,362,354,98,0,0,8,2,Y,7,2012-2013
3731189,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,LA JOLLA,PREUSS SCHOOL UCSD,123,122,99,0,0,1,1,Y,7,2012-2013
0121582,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,LA MESA,COLLEGE PREPARTORY MIDDLE,60,57,95,0,0,3,5,Y,7,2012-2013
6038491,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,LA MESA,LA MESA MIDDLE,287,269,94,0,0,18,6,Y,7,2012-2013
6038558,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,LA MESA,PARKWAY MIDDLE,382,375,98,0,0,7,2,Y,7,2012-2013
6038673,SAN DIEGO,PUBLIC,LEMON GROVE,LA MESA,VISTA LA MESA ACADEMY,58,57,98,0,0,1,2,Y,7,2012-2013
6120901,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,BARONA INDIAN CHARTER,13,10,77,0,0,3,23,Y,7,2012-2013
6038350,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,LAKESIDE MIDDLE,286,279,98,0,0,7,2,Y,7,2012-2013
3731072,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,RIVER VALLEY CHARTER,38,28,74,0,0,10,26,Y,7,2012-2013
6085047,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,TIERRA DEL SOL MIDDLE,175,170,97,0,0,5,3,Y,7,2012-2013
6038640,SAN DIEGO,PUBLIC,LEMON GROVE,LEMON GROVE,LEMON GROVE ACADEMY MIDDLE SCHOOL,358,352,98,3,1,3,1,Y,7,2012-2013
6059778,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,NATIONAL CITY,GRANGER JUNIOR HIGH,362,362,100,0,0,0,0,Y,7,2012-2013
0101360,SAN DIEGO,PUBLIC,NATIONAL ELEMENTARY,NATIONAL CITY,INTEGRITY CHARTER,24,24,100,0,0,0,0,Y,7,2012-2013
6059794,SAN DIEGO,PUBLIC,SWEETWATER UNION HIGH,NATIONAL CITY,NATIONAL CITY MIDDLE,424,423,100,1,0,0,0,Y,7,2012-2013
0113522,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,CESAR CHAVEZ MIDDLE,239,235,98,0,0,4,2,Y,7,2012-2013
0101071,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,COASTAL ACADEMY,179,149,83,0,0,30,17,Y,7,2012-2013
6038830,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,JEFFERSON MIDDLE,325,324,100,0,0,1,0,Y,7,2012-2013
6038863,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,LINCOLN MIDDLE,272,270,99,0,0,2,1,Y,7,2012-2013
6112221,SAN DIEGO,PUBLIC,VISTA UNIFIED,OCEANSIDE,MADISON MIDDLE,438,427,97,1,0,10,2,Y,7,2012-2013
6111777,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,MARTIN LUTHER KING JR. MIDDLE,471,457,97,12,3,2,0,Y,7,2012-2013
6038301,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,OCEANSIDE,MARY FAY PENDLETON ELEMENTARY,86,86,100,0,0,0,0,Y,7,2012-2013
3731221,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,PACIFIC VIEW CHARTER,28,21,75,0,0,7,25,Y,7,2012-2013
6107577,SAN DIEGO,PUBLIC,VISTA UNIFIED,OCEANSIDE,ROOSEVELT MIDDLE,361,354,98,0,0,7,2,Y,7,2012-2013
6038962,SAN DIEGO,PUBLIC,VALLEY CENTER-PAUMA UNIFIED,PAUMA VALLEY,PAUMA ELEMENTARY,24,24,100,0,0,0,0,Y,7,2012-2013
6097190,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,POTRERO,POTRERO ELEMENTARY,31,31,100,0,0,0,0,Y,7,2012-2013
6038988,SAN DIEGO,PUBLIC,POWAY UNIFIED,POWAY,MEADOWBROOK MIDDLE,433,426,98,2,0,5,1,Y,7,2012-2013
6070866,SAN DIEGO,PUBLIC,POWAY UNIFIED,POWAY,TWIN PEAKS MIDDLE,415,403,97,0,0,12,3,Y,7,2012-2013
0101220,SAN DIEGO,PUBLIC,VALLECITOS ELEMENTARY,RAINBOW,RAI ONLINE CHARTER,17,11,65,0,0,6,35,Y,7,2012-2013
6040562,SAN DIEGO,PUBLIC,VALLECITOS ELEMENTARY,RAINBOW,VALLECITOS ELEMENTARY,14,14,100,0,0,0,0,Y,7,2012-2013
6105563,SAN DIEGO,PUBLIC,RAMONA CITY UNIFIED,RAMONA,OLIVE PEIRCE MIDDLE,428,412,96,0,0,16,4,Y,7,2012-2013
6106264,SAN DIEGO,PUBLIC,RAMONA CITY UNIFIED,RAMONA,RAMONA COMMUNITY,37,34,92,1,3,2,5,Y,7,2012-2013
6070908,SAN DIEGO,PUBLIC,RANCHO SANTA FE ELEMENTARY,RANCHO SANTA FE,R. ROGER ROWE MIDDLE,104,100,96,0,0,4,4,Y,7,2012-2013
6096515,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,SAN CLEMENTE,SAN ONOFRE ELEMENTARY,51,48,94,0,0,3,6,Y,7,2012-2013
0111898,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,ALBERT EINSTEIN ACADEMY MIDDLE,112,107,96,0,0,5,4,Y,7,2012-2013
0124206,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,AMERICA'S FINEST CHARTER,26,26,100,0,0,0,0,Y,7,2012-2013
3731395,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,AUDEO CHARTER,23,21,91,0,0,2,9,Y,7,2012-2013
6039143,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,AUDUBON ELEMENTARY,38,38,100,0,0,0,0,Y,7,2012-2013
6059588,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,BELL MIDDLE,255,253,99,1,0,1,0,Y,7,2012-2013
6107460,SAN DIEGO,PUBLIC,POWAY UNIFIED,SAN DIEGO,BERNARDO HEIGHTS MIDDLE,459,451,98,0,0,8,2,Y,7,2012-2013
6106173,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,BETHUNE ELEMENTARY,101,101,100,0,0,0,0,Y,7,2012-2013
6093223,SAN DIEGO,PUBLIC,POWAY UNIFIED,SAN DIEGO,BLACK MOUNTAIN MIDDLE,437,427,98,1,0,9,2,Y,7,2012-2013
6117352,SAN DIEGO,PUBLIC,SAN DIEGUITO UNION HIGH,SAN DIEGO,CARMEL VALLEY MIDDLE,732,714,98,4,1,14,2,Y,7,2012-2013
6107056,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,CHALLENGER MIDDLE,343,340,99,0,0,3,1,Y,7,2012-2013
3730959,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,CHARTER SCHOOL OF SAN DIEGO,33,31,94,0,0,2,6,Y,7,2012-2013
6114060,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,CLARK MIDDLE,376,376,100,0,0,0,0,Y,7,2012-2013
6059596,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,CORREIA MIDDLE,376,370,98,0,0,6,2,Y,7,2012-2013
3731551,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,"CREATIVE, PERFORMING, AND MEDIA ARTS",351,338,96,0,0,13,4,Y,7,2012-2013
6106181,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,DE PORTOLA MIDDLE,301,284,94,2,1,15,5,Y,7,2012-2013
6099063,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,FARB MIDDLE,193,192,99,0,0,1,1,Y,7,2012-2013
6039630,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,FULTON ELEMENTARY,25,25,100,0,0,0,0,Y,7,2012-2013
0108266,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,GOLDEN HILL ELEMENTARY,51,51,100,0,0,0,0,Y,7,2012-2013
0119610,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,GOMPERS PREPARATORY ACADEMY,211,211,100,0,0,0,0,Y,7,2012-2013
6039671,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,GRANT ELEMENTARY,57,50,88,1,2,6,11,Y,7,2012-2013
6040018,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HARRIET TUBMAN VILLAGE CHARTER,40,40,100,0,0,0,0,Y,7,2012-2013
0101204,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HIGH TECH MIDDLE,112,110,98,0,0,2,2,Y,7,2012-2013
0107573,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HIGH TECH MIDDLE MEDIA ARTS,112,106,95,2,2,4,4,Y,7,2012-2013
6117279,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HOLLY DRIVE LEADERSHIP ACADEMY,16,16,100,0,0,0,0,Y,7,2012-2013
0115931,SAN DIEGO,PUBLIC,SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO,HOPE REGION COMMUNITY,19,19,100,0,0,0,0,Y,7,2012-2013
0108548,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,IFTIN CHARTER,35,24,69,0,0,11,31,Y,7,2012-2013
0116939,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,INNOVATION MIDDLE,263,260,99,0,0,3,1,Y,7,2012-2013
0118083,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,INNOVATIONS ACADEMY,45,36,80,0,0,9,20,Y,7,2012-2013
3730116,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,JOHN MUIR,30,30,100,0,0,0,0,Y,7,2012-2013
6039812,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,KEILLER LEADERSHIP ACADEMY,122,122,100,0,0,0,0,Y,7,2012-2013
6119598,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,KING/CHAVEZ ACADEMY OF EXCELLENCE,60,60,100,0,0,0,0,Y,7,2012-2013
0111906,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,KING/CHAVEZ PREPARATORY ACADEMY,120,117,98,0,0,3,3,Y,7,2012-2013
0101345,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,KIPP ADELANTE,90,89,99,0,0,1,1,Y,7,2012-2013
0124115,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,KNOX MIDDLE,170,169,99,1,1,0,0,Y,7,2012-2013
6040000,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,LANGUAGE ACADEMY,88,82,93,0,0,6,7,Y,7,2012-2013
0106799,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,LEARNING CHOICE ACADEMY,72,46,64,0,0,26,36,Y,7,2012-2013
6059638,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,LEWIS MIDDLE,362,357,99,0,0,5,1,Y,7,2012-2013
6039895,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,LOGAN ELEMENTARY,66,66,100,0,0,0,0,Y,7,2012-2013
